date,ticker,weight
2026-01-02,CASH,0.0
2026-01-02,DIS,0.07146
2026-01-02,NKE,0.05
2026-01-02,SBUX,0.07854
2026-01-02,TGT,0.4
2026-01-02,TSLA,0.4
2026-01-05,CASH,0.14152047311999993
2026-01-05,DIS,0.0613469469908448
2026-01-05,NKE,0.042923976344000005
2026-01-05,SBUX,0.0674249820411552
2026-01-05,TGT,0.34339181075200004
2026-01-05,TSLA,0.34339181075200004
2026-01-06,CASH,0.0
2026-01-06,DIS,0.07146
2026-01-06,NKE,0.05
2026-01-06,SBUX,0.07854
2026-01-06,TGT,0.4
2026-01-06,TSLA,0.4
2026-01-07,CASH,0.0
2026-01-07,DIS,0.07146
2026-01-07,NKE,0.05
2026-01-07,SBUX,0.07854
2026-01-07,TGT,0.4
2026-01-07,TSLA,0.4
2026-01-08,CASH,0.0
2026-01-08,DIS,0.07146
2026-01-08,NKE,0.05
2026-01-08,SBUX,0.07854
2026-01-08,TGT,0.4
2026-01-08,TSLA,0.4
2026-01-09,CASH,0.0
2026-01-09,DIS,0.07146
2026-01-09,NKE,0.05
2026-01-09,SBUX,0.07854
2026-01-09,TGT,0.4
2026-01-09,TSLA,0.4
2026-01-12,CASH,0.0
2026-01-12,DIS,0.07146
2026-01-12,NKE,0.05
2026-01-12,SBUX,0.07854
2026-01-12,TGT,0.4
2026-01-12,TSLA,0.4
2026-01-13,CASH,0.0
2026-01-13,DIS,0.07146
2026-01-13,NKE,0.05
2026-01-13,SBUX,0.07854
2026-01-13,TGT,0.4
2026-01-13,TSLA,0.4
2026-01-14,CASH,0.0
2026-01-14,DIS,0.07146
2026-01-14,NKE,0.05
2026-01-14,SBUX,0.07854
2026-01-14,TGT,0.4
2026-01-14,TSLA,0.4
2026-01-15,CASH,0.0
2026-01-15,DIS,0.07146
2026-01-15,NKE,0.05
2026-01-15,SBUX,0.07854
2026-01-15,TGT,0.4
2026-01-15,TSLA,0.4
2026-01-16,CASH,0.0
2026-01-16,DIS,0.07146
2026-01-16,NKE,0.05
2026-01-16,SBUX,0.07854
2026-01-16,TGT,0.4
2026-01-16,TSLA,0.4
2026-01-20,CASH,0.19999999999999996
2026-01-20,DIS,0.057168
2026-01-20,NKE,0.04000000000000001
2026-01-20,SBUX,0.062832
2026-01-20,TGT,0.32000000000000006
2026-01-20,TSLA,0.32000000000000006
2026-01-21,CASH,0.19999999999999996
2026-01-21,DIS,0.057168
2026-01-21,NKE,0.04000000000000001
2026-01-21,SBUX,0.062832
2026-01-21,TGT,0.32000000000000006
2026-01-21,TSLA,0.32000000000000006
2026-01-22,CASH,0.0
2026-01-22,DIS,0.07146
2026-01-22,NKE,0.05
2026-01-22,SBUX,0.07854
2026-01-22,TGT,0.4
2026-01-22,TSLA,0.4
2026-01-23,CASH,0.0
2026-01-23,DIS,0.07146
2026-01-23,NKE,0.05
2026-01-23,SBUX,0.07854
2026-01-23,TGT,0.4
2026-01-23,TSLA,0.4
2026-01-26,CASH,0.0
2026-01-26,DIS,0.07146
2026-01-26,NKE,0.05
2026-01-26,SBUX,0.07854
2026-01-26,TGT,0.4
2026-01-26,TSLA,0.4
2026-01-27,CASH,0.19999999999999996
2026-01-27,DIS,0.057168
2026-01-27,NKE,0.04000000000000001
2026-01-27,SBUX,0.062832
2026-01-27,TGT,0.32000000000000006
2026-01-27,TSLA,0.32000000000000006
2026-01-28,CASH,0.19999999999999996
2026-01-28,DIS,0.057168
2026-01-28,NKE,0.04000000000000001
2026-01-28,SBUX,0.062832
2026-01-28,TGT,0.32000000000000006
2026-01-28,TSLA,0.32000000000000006
2026-01-29,CASH,0.10171609439999996
2026-01-29,DIS,0.064191367894176
2026-01-29,NKE,0.044914195280000006
2026-01-29,SBUX,0.070551217945824
2026-01-29,TGT,0.35931356224000005
2026-01-29,TSLA,0.35931356224000005
2026-01-30,CASH,0.0
2026-01-30,DIS,0.07146
2026-01-30,NKE,0.05
2026-01-30,SBUX,0.07854
2026-01-30,TGT,0.4
2026-01-30,TSLA,0.4
2026-02-02,CASH,0.0
2026-02-02,DIS,0.07146
2026-02-02,NKE,0.05
2026-02-02,SBUX,0.07854
2026-02-02,TGT,0.4
2026-02-02,TSLA,0.4
2026-02-03,CASH,0.0
2026-02-03,DIS,0.07146
2026-02-03,NKE,0.05
2026-02-03,SBUX,0.07854
2026-02-03,TGT,0.4
2026-02-03,TSLA,0.4
2026-02-04,CASH,0.0
2026-02-04,DIS,0.07146
2026-02-04,NKE,0.05
2026-02-04,SBUX,0.07854
2026-02-04,TGT,0.4
2026-02-04,TSLA,0.4
2026-02-05,CASH,0.10659635952000002
2026-02-05,DIS,0.06384262414870079
2026-02-05,NKE,0.044670182024
2026-02-05,SBUX,0.0701679219232992
2026-02-05,TGT,0.357361456192
2026-02-05,TSLA,0.357361456192
2026-02-06,CASH,0.0
2026-02-06,DIS,0.07146
2026-02-06,NKE,0.05
2026-02-06,SBUX,0.07854
2026-02-06,TGT,0.4
2026-02-06,TSLA,0.4
2026-02-09,CASH,0.0
2026-02-09,DIS,0.07146
2026-02-09,NKE,0.05
2026-02-09,SBUX,0.07854
2026-02-09,TGT,0.4
2026-02-09,TSLA,0.4
2026-02-10,CASH,0.19795696794666662
2026-02-10,DIS,0.0573139950705312
2026-02-10,NKE,0.04010215160266667
2026-02-10,SBUX,0.06299245973746881
2026-02-10,TGT,0.32081721282133335
2026-02-10,TSLA,0.32081721282133335
2026-02-11,CASH,0.19999999999999996
2026-02-11,DIS,0.057168
2026-02-11,NKE,0.04000000000000001
2026-02-11,SBUX,0.062832
2026-02-11,TGT,0.32000000000000006
2026-02-11,TSLA,0.32000000000000006
2026-02-12,CASH,0.0
2026-02-12,DIS,0.07146
2026-02-12,NKE,0.05
2026-02-12,SBUX,0.07854
2026-02-12,TGT,0.4
2026-02-12,TSLA,0.4
2026-02-13,CASH,0.07659526018666674
2026-02-13,DIS,0.06598650270706079
2026-02-13,NKE,0.04617023699066666
2026-02-13,SBUX,0.07252420826493919
2026-02-13,TGT,0.3693618959253333
2026-02-13,TSLA,0.3693618959253333
2026-02-17,CASH,0.0
2026-02-17,DIS,0.07146
2026-02-17,NKE,0.05
2026-02-17,SBUX,0.07854
2026-02-17,TGT,0.4
2026-02-17,TSLA,0.4
2026-02-18,CASH,0.0
2026-02-18,DIS,0.07146
2026-02-18,NKE,0.05
2026-02-18,SBUX,0.07854
2026-02-18,TGT,0.4
2026-02-18,TSLA,0.4
2026-02-19,CASH,0.0
2026-02-19,DIS,0.07146
2026-02-19,NKE,0.05
2026-02-19,SBUX,0.07854
2026-02-19,TGT,0.4
2026-02-19,TSLA,0.4
2026-02-20,CASH,0.0
2026-02-20,DIS,0.07146
2026-02-20,NKE,0.05
2026-02-20,SBUX,0.07854
2026-02-20,TGT,0.4
2026-02-20,TSLA,0.4
2026-02-23,CASH,0.0
2026-02-23,DIS,0.07146
2026-02-23,NKE,0.05
2026-02-23,SBUX,0.07854
2026-02-23,TGT,0.4
2026-02-23,TSLA,0.4
2026-02-24,CASH,0.015437630826666604
2026-02-24,DIS,0.0703568269011264
2026-02-24,NKE,0.049228118458666675
2026-02-24,SBUX,0.0773275284748736
2026-02-24,TGT,0.3938249476693334
2026-02-24,TSLA,0.3938249476693334
2026-02-25,CASH,0.0
2026-02-25,DIS,0.07146
2026-02-25,NKE,0.05
2026-02-25,SBUX,0.07854
2026-02-25,TGT,0.4
2026-02-25,TSLA,0.4
2026-02-26,CASH,0.09712541866666669
2026-02-26,DIS,0.06451941758207999
2026-02-26,NKE,0.045143729066666666
2026-02-26,SBUX,0.07091176961791999
2026-02-26,TGT,0.3611498325333333
2026-02-26,TSLA,0.3611498325333333
2026-02-27,CASH,0.1879858402133333
2026-02-27,DIS,0.0580265318583552
2026-02-27,NKE,0.04060070798933334
2026-02-27,SBUX,0.0637755921096448
2026-02-27,TGT,0.3248056639146667
2026-02-27,TSLA,0.3248056639146667
2026-03-02,CASH,0.0
2026-03-02,DIS,0.07146
2026-03-02,NKE,0.05
2026-03-02,SBUX,0.07854
2026-03-02,TGT,0.4
2026-03-02,TSLA,0.4
2026-03-03,CASH,0.0
2026-03-03,DIS,0.07146
2026-03-03,NKE,0.05
2026-03-03,SBUX,0.07854
2026-03-03,TGT,0.4
2026-03-03,TSLA,0.4
2026-03-04,CASH,0.0
2026-03-04,DIS,0.07146
2026-03-04,NKE,0.05
2026-03-04,SBUX,0.07854
2026-03-04,TGT,0.4
2026-03-04,TSLA,0.4
2026-03-05,CASH,0.0
2026-03-05,DIS,0.07146
2026-03-05,NKE,0.05
2026-03-05,SBUX,0.07854
2026-03-05,TGT,0.4
2026-03-05,TSLA,0.4
2026-03-06,CASH,0.1323075547999999
2026-03-06,DIS,0.062005302133992
2026-03-06,NKE,0.043384622260000005
2026-03-06,SBUX,0.068148564646008
2026-03-06,TGT,0.34707697808000004
2026-03-06,TSLA,0.34707697808000004
2026-03-09,CASH,0.0
2026-03-09,DIS,0.07146
2026-03-09,NKE,0.05
2026-03-09,SBUX,0.07854
2026-03-09,TGT,0.4
2026-03-09,TSLA,0.4
2026-03-10,CASH,0.1380324833333333
2026-03-10,DIS,0.061596198741
2026-03-10,NKE,0.04309837583333334
2026-03-10,SBUX,0.06769892875900001
2026-03-10,TGT,0.34478700666666673
2026-03-10,TSLA,0.34478700666666673
2026-03-11,CASH,0.0
2026-03-11,DIS,0.07146
2026-03-11,NKE,0.05
2026-03-11,SBUX,0.07854
2026-03-11,TGT,0.4
2026-03-11,TSLA,0.4
2026-03-12,CASH,0.0
2026-03-12,DIS,0.07146
2026-03-12,NKE,0.05
2026-03-12,SBUX,0.07854
2026-03-12,TGT,0.4
2026-03-12,TSLA,0.4
2026-03-13,CASH,0.0
2026-03-13,DIS,0.07146
2026-03-13,NKE,0.05
2026-03-13,SBUX,0.07854
2026-03-13,TGT,0.4
2026-03-13,TSLA,0.4
2026-03-16,CASH,0.0
2026-03-16,DIS,0.07146
2026-03-16,NKE,0.05
2026-03-16,SBUX,0.07854
2026-03-16,TGT,0.4
2026-03-16,TSLA,0.4
2026-03-17,CASH,0.09046322733333334
2026-03-17,DIS,0.06499549777475999
2026-03-17,NKE,0.045476838633333336
2026-03-17,SBUX,0.07143501812524
2026-03-17,TGT,0.3638147090666667
2026-03-17,TSLA,0.3638147090666667
2026-03-18,CASH,0.0
2026-03-18,DIS,0.07146
2026-03-18,NKE,0.05
2026-03-18,SBUX,0.07854
2026-03-18,TGT,0.4
2026-03-18,TSLA,0.4
2026-03-19,CASH,0.0
2026-03-19,DIS,0.07146
2026-03-19,NKE,0.05
2026-03-19,SBUX,0.07854
2026-03-19,TGT,0.4
2026-03-19,TSLA,0.4
2026-03-20,CASH,0.0
2026-03-20,DIS,0.07146
2026-03-20,NKE,0.05
2026-03-20,SBUX,0.07854
2026-03-20,TGT,0.4
2026-03-20,TSLA,0.4
2026-03-23,CASH,0.0
2026-03-23,DIS,0.07146
2026-03-23,NKE,0.05
2026-03-23,SBUX,0.07854
2026-03-23,TGT,0.4
2026-03-23,TSLA,0.4
2026-03-24,CASH,0.0
2026-03-24,DIS,0.07146
2026-03-24,NKE,0.05
2026-03-24,SBUX,0.07854
2026-03-24,TGT,0.4
2026-03-24,TSLA,0.4
2026-03-25,CASH,0.19999999999999996
2026-03-25,DIS,0.057168
2026-03-25,NKE,0.04000000000000001
2026-03-25,SBUX,0.062832
2026-03-25,TGT,0.32000000000000006
2026-03-25,TSLA,0.32000000000000006
2026-03-26,CASH,0.0
2026-03-26,DIS,0.07146
2026-03-26,NKE,0.05
2026-03-26,SBUX,0.07854
2026-03-26,TGT,0.4
2026-03-26,TSLA,0.4
2026-03-27,CASH,0.19999999999999996
2026-03-27,DIS,0.057168
2026-03-27,NKE,0.04000000000000001
2026-03-27,SBUX,0.062832
2026-03-27,TGT,0.32000000000000006
2026-03-27,TSLA,0.32000000000000006
2026-03-30,CASH,0.0
2026-03-30,DIS,0.07146
2026-03-30,NKE,0.05
2026-03-30,SBUX,0.07854
2026-03-30,TGT,0.4
2026-03-30,TSLA,0.4
2026-03-31,CASH,0.0
2026-03-31,DIS,0.07146
2026-03-31,NKE,0.05
2026-03-31,SBUX,0.07854
2026-03-31,TGT,0.4
2026-03-31,TSLA,0.4
2026-04-01,CASH,0.0
2026-04-01,DIS,0.07146
2026-04-01,NKE,0.05
2026-04-01,SBUX,0.07854
2026-04-01,TGT,0.4
2026-04-01,TSLA,0.4
2026-04-02,CASH,0.0
2026-04-02,DIS,0.07146
2026-04-02,NKE,0.05
2026-04-02,SBUX,0.07854
2026-04-02,TGT,0.4
2026-04-02,TSLA,0.4
