date,Signal-adjusted + cash overlay max 20%,PyPortfolioOpt classique,PyPortfolioOpt classique + cash overlay max 20%,Equal-weight
2026-01-02,0.0232605503,0.023574383406783073,0.023574383406783073,0.023462080724610646
2026-01-05,-0.004567542255311793,-0.00437072144254892,-0.0037521748761236685,0.006143357242079417
2026-01-06,-0.009298616,-0.008945072020724218,-0.008945072020724218,-0.01753330723066493
2026-01-07,0.0182238441,0.01809447495709427,0.01809447495709427,0.01928990277558129
2026-01-08,0.0077459733,0.007605747178225897,0.007605747178225897,0.009308983128232718
2026-01-09,0.0055831405,0.004755688032872844,0.004755688032872844,-0.0007502003910080379
2026-01-12,0.0090564158,0.0089437204871079,0.0089437204871079,0.00753644032125711
2026-01-13,-0.00242941,-0.0024647547045344746,-0.0024647547045344746,-0.001312383292899022
2026-01-14,0.0057343325,0.005210173476147453,0.005210173476147453,0.003571860489956924
2026-01-15,-0.0018837826,-0.002235253976261958,-0.002235253976261958,-0.005387389981462909
2026-01-16,-0.0239077792,-0.024228369538780794,-0.024228369538780794,-0.014265207017702508
2026-01-20,0.00416443304,0.005125159330890241,0.0041001274647121935,0.01645464098583398
2026-01-21,0.014219328240000002,0.017911478546752724,0.01432918283740218,0.008118434594782875
2026-01-22,0.0063045327,0.005480965504239823,0.005480965504239823,0.0013841681655647475
2026-01-23,-0.0288761447,-0.028528750208226088,-0.028528750208226088,-0.016034438833309305
2026-01-26,-0.0058229929,-0.005822056691959475,-0.005822056691959475,-0.010078031875768412
2026-01-27,-0.00822536,-0.010359866877863947,-0.008287893502291158,-0.010037398489277627
2026-01-28,-0.00769827112,-0.008938510542192652,-0.007150808433754122,-0.0025903299033915193
2026-01-29,0.019373844688277235,0.02206460817218433,0.019820282404443418,0.007315633452427273
2026-01-30,0.003720656,0.0021927629117842583,0.0021927629117842583,-0.010470605056298422
2026-02-02,0.0069633548,0.006600133548573156,0.006600133548573156,0.001786854891529055
2026-02-03,0.0033322885,0.003008547500975239,0.003008547500975239,0.022203472578086324
