date,Signal-adjusted PyPortfolioOpt,Signal-adjusted + weighted cash overlay max 20%,Black-Litterman relative views,BL relative + weighted cash overlay max 20%,PyPortfolioOpt classique,Classic + weighted cash overlay max 20%,Equal-weight
2026-01-02,0.0232605503,0.0232605503,0.02239880929421445,0.02239880929421445,0.023260550288264917,0.023260550288264917,0.023462080724610646
2026-01-05,-0.0052017907,-0.004567542255311793,0.013684322846424249,0.013684322846424249,-0.005201790741236133,-0.004567542291520051,0.006143357242079418
2026-01-06,-0.009298616,-0.009298616,-0.017290276194467945,-0.017290276194467945,-0.008474888241914886,-0.008474888241914886,-0.01753330723066493
2026-01-07,0.0182238441,0.0182238441,0.0160268240544989,0.0160268240544989,0.017922424902878556,0.017922424902878556,0.01928990277558129
2026-01-08,0.0077459733,0.0077459733,0.007250228234437935,0.007250228234437935,0.007806653424807264,0.007806653424807264,0.009308983128232718
2026-01-09,0.0055831405,0.0055831405,-0.0036137209887785074,-0.0036137209887785074,0.003655245595560092,0.003655245595560092,-0.0007502003910080381
2026-01-12,0.0090564158,0.0090564158,0.007899933786900237,0.007899933786900237,0.008793845140311207,0.008793845140311207,0.0075364403212571105
2026-01-13,-0.00242941,-0.00242941,0.005535597709163304,0.005535597709163304,-0.002511760255589513,-0.002511760255589513,-0.0013123832928990217
2026-01-14,0.0057343325,0.0057343325,0.004607160501771328,0.004607160501771328,0.004513085978938791,0.004513085978938791,0.0035718604899569245
2026-01-15,-0.0018837826,-0.0018837826,-0.007487790774036066,-0.007487790774036066,-0.0027026814491857287,-0.0027026814491857287,-0.005387389981462909
2026-01-16,-0.0239077792,-0.0239077792,-0.007145771148436306,-0.007145771148436306,-0.024654727748273444,-0.024654727748273444,-0.01426520701770251
2026-01-20,0.0052055413,0.00416443304,0.025709677683913437,0.025709677683913437,0.0050182579881220095,0.004014606390497608,0.016454640985833983
2026-01-21,0.0177741603,0.014219328240000002,0.0003876847397075358,0.0003876847397075358,0.018094100232865888,0.01447528018629271,0.008118434594782875
2026-01-22,0.0063045327,0.0063045327,-1.9663873971436472e-05,-1.9663873971436472e-05,0.0043856902487263705,0.0043856902487263705,0.0013841681655647477
2026-01-23,-0.0288761447,-0.0288761447,-0.009136211994692412,-0.009136211994692412,-0.028066744707072967,-0.028066744707072967,-0.01603443883330931
2026-01-26,-0.0058229929,-0.0058229929,-0.009304008249529278,-0.009304008249529278,-0.005820811562417117,-0.0057566359507791555,-0.010078031875768414
2026-01-27,-0.0102817,-0.00822536,-0.011184218965605609,-0.011184218965605609,-0.010463822284708395,-0.008527706130485868,-0.010037398489277627
2026-01-28,-0.0096228389,-0.00769827112,0.0033804885485059074,0.0027043908388047263,-0.008028411238407102,-0.006422728990725682,-0.00259032990339152
2026-01-29,0.0213887899,0.019373844688277235,0.0008043006024419889,0.0008043006024419889,0.02296338974943618,0.020398279606401913,0.007315633452427272
2026-01-30,0.003720656,0.003720656,-0.015529655830806916,-0.015529655830806916,0.00016079324644303894,0.00016079324644303894,-0.010470605056298422
2026-02-02,0.0069633548,0.0069633548,0.00928960134341706,0.00928960134341706,0.006117079722318543,0.006117079722318543,0.0017868548915290555
2026-02-03,0.0033322885,0.0033322885,0.03597459899124347,0.03597459899124347,0.00257799914948058,0.00257799914948058,0.022203472578086324
2026-02-04,-0.0232484735,-0.0232484735,-0.01980503343329823,-0.01980503343329823,-0.023755921698988783,-0.023755921698988783,-0.0205587256770891
2026-02-05,0.037225348,0.0338793401499504,0.03410073106334863,0.03410073106334863,0.037242912699172306,0.03244525089093477,0.03351360530610395
2026-02-06,0.0035624055,0.0035624055,-0.004781120229789846,-0.004781120229789846,0.0030765285971968374,0.0030765285971968374,-0.005589341696082895
2026-02-09,-6.2076e-06,-6.2076e-06,-0.0037580664919281853,-0.0037580664919281853,0.002047092625880426,0.002047092625880426,0.004188911635266268
2026-02-10,0.0121176812,0.00969414496,-0.002646861366575129,-0.002646861366575129,0.010465879164861237,0.008723317958889894,0.003660456042496052
2026-02-11,-0.0231994854,-0.01855958832,-0.028935023092587102,-0.023148018474069682,-0.024663469443583635,-0.01973077555486691,-0.0279702103494909
2026-02-12,0.0119681844,0.0119681844,0.00678867156207253,0.00678867156207253,0.014689679103821525,0.014450633955765037,0.013379423961270943
2026-02-13,-0.0007905591,-0.0007164610496358,0.004838761837706097,0.004838761837706097,-0.0016482667717755426,-0.0015595747455152665,0.0068318061425769235
2026-02-17,-0.0006101259,-0.0006101259,0.006063270022645617,0.006063270022645617,-1.689471509579404e-05,-1.689471509579404e-05,0.005002724161932571
2026-02-18,-4.67527e-05,-4.67527e-05,-0.001996284748998437,-0.001996284748998437,-0.0005811750110505942,-0.0005811750110505942,-0.001597927460321946
2026-02-19,0.0050750052,0.0050750052,0.008868686187451845,0.008868686187451845,0.003994850650167265,0.003994850650167265,0.003930131338090882
2026-02-20,-0.0282292256,-0.0282292256,-0.024952229620651665,-0.024952229620651665,-0.02739342191303509,-0.02739342191303509,-0.026404757772624323
2026-02-23,0.0206508951,0.0206508951,0.018737715085682432,0.018737715085682432,0.020523617307409606,0.020523617307409606,0.018585958994065923
2026-02-24,0.011483429,0.0112049076163482,-0.0014478319656033485,-0.0014478319656033485,0.010276281017648298,0.010238132037083781,0.004414508664348782
2026-02-25,-0.0132955847,-0.0132955847,-0.008143544920788377,-0.008143544920788377,-0.013134191100734105,-0.013134191100734105,-0.004066954819445301
