strategie,rendement_total,rendement_annualise,volatilite_annualisee,sharpe_ratio,max_drawdown,n_jours
Signal-adjusted + weighted cash overlay max 20%,0.13738982898561702,0.3787850692282271,0.22051620829963203,1.717719854467764,-0.07212597105954976,101
Signal-adjusted PyPortfolioOpt,0.12979752416021006,0.3559359252135168,0.2267669536656432,1.569611089534355,-0.07981335984011284,101
BL relative + weighted cash overlay max 20%,0.10897270425544403,0.2944335519671144,0.1986678116071424,1.4820395391949297,-0.0818310174918726,101
Classic + weighted cash overlay max 20%,0.1094482084638011,0.2958188130245043,0.21335288895259713,1.386523587642769,-0.08241186804664835,101
Black-Litterman relative views,0.09905811405002529,0.2657518466166269,0.20155229592895169,1.318525524066994,-0.09076726492362319,101
PyPortfolioOpt classique,0.10256105344460731,0.27584144159602686,0.22149966165652624,1.2453357243667804,-0.09128675946067433,101
Equal-weight,0.02027012358728597,0.051343851631707293,0.20190444720387174,0.25429777472837517,-0.12827239741914964,101
