date,ticker,weight
2026-01-02,CASH,0.0
2026-01-02,DIS,0.1
2026-01-02,NKE,0.05
2026-01-02,SBUX,0.05
2026-01-02,TGT,0.4
2026-01-02,TSLA,0.4
2026-01-05,CASH,0.12192886666666669
2026-01-05,DIS,0.08780711333333334
2026-01-05,NKE,0.04390355666666667
2026-01-05,SBUX,0.04390355666666667
2026-01-05,TGT,0.35122845333333336
2026-01-05,TSLA,0.35122845333333336
2026-01-06,CASH,0.0
2026-01-06,DIS,0.05
2026-01-06,NKE,0.05
2026-01-06,SBUX,0.1
2026-01-06,TGT,0.4
2026-01-06,TSLA,0.4
2026-01-07,CASH,0.0
2026-01-07,DIS,0.05
2026-01-07,NKE,0.05
2026-01-07,SBUX,0.1
2026-01-07,TGT,0.4
2026-01-07,TSLA,0.4
2026-01-08,CASH,0.0
2026-01-08,DIS,0.09138
2026-01-08,NKE,0.05
2026-01-08,SBUX,0.05862
2026-01-08,TGT,0.4
2026-01-08,TSLA,0.4
2026-01-09,CASH,0.0
2026-01-09,DIS,0.05
2026-01-09,NKE,0.05
2026-01-09,SBUX,0.1
2026-01-09,TGT,0.4
2026-01-09,TSLA,0.4
2026-01-12,CASH,0.0
2026-01-12,DIS,0.05
2026-01-12,NKE,0.05
2026-01-12,SBUX,0.1
2026-01-12,TGT,0.4
2026-01-12,TSLA,0.4
2026-01-13,CASH,0.0
2026-01-13,DIS,0.05
2026-01-13,NKE,0.05
2026-01-13,SBUX,0.1
2026-01-13,TGT,0.4
2026-01-13,TSLA,0.4
2026-01-14,CASH,0.0
2026-01-14,DIS,0.05
2026-01-14,NKE,0.05
2026-01-14,SBUX,0.1
2026-01-14,TGT,0.4
2026-01-14,TSLA,0.4
2026-01-15,CASH,0.0
2026-01-15,DIS,0.05
2026-01-15,NKE,0.05
2026-01-15,SBUX,0.1
2026-01-15,TGT,0.4
2026-01-15,TSLA,0.4
2026-01-16,CASH,0.0
2026-01-16,DIS,0.05
2026-01-16,NKE,0.05
2026-01-16,SBUX,0.1
2026-01-16,TGT,0.4
2026-01-16,TSLA,0.4
2026-01-20,CASH,0.19999999999999996
2026-01-20,DIS,0.04000000000000001
2026-01-20,NKE,0.04000000000000001
2026-01-20,SBUX,0.08000000000000002
2026-01-20,TGT,0.32000000000000006
2026-01-20,TSLA,0.32000000000000006
2026-01-21,CASH,0.19999999999999996
2026-01-21,DIS,0.04000000000000001
2026-01-21,NKE,0.04000000000000001
2026-01-21,SBUX,0.08000000000000002
2026-01-21,TGT,0.32000000000000006
2026-01-21,TSLA,0.32000000000000006
2026-01-22,CASH,0.0
2026-01-22,DIS,0.05
2026-01-22,NKE,0.05
2026-01-22,SBUX,0.1
2026-01-22,TGT,0.4
2026-01-22,TSLA,0.4
2026-01-23,CASH,0.0
2026-01-23,DIS,0.05
2026-01-23,NKE,0.05
2026-01-23,SBUX,0.1
2026-01-23,TGT,0.4
2026-01-23,TSLA,0.4
2026-01-26,CASH,0.0
2026-01-26,DIS,0.05
2026-01-26,NKE,0.05
2026-01-26,SBUX,0.1
2026-01-26,TGT,0.4
2026-01-26,TSLA,0.4
2026-01-27,CASH,0.19999999999999996
2026-01-27,DIS,0.04000000000000001
2026-01-27,NKE,0.04000000000000001
2026-01-27,SBUX,0.08000000000000002
2026-01-27,TGT,0.32000000000000006
2026-01-27,TSLA,0.32000000000000006
2026-01-28,CASH,0.19999999999999996
2026-01-28,DIS,0.04000000000000001
2026-01-28,NKE,0.04000000000000001
2026-01-28,SBUX,0.08000000000000002
2026-01-28,TGT,0.32000000000000006
2026-01-28,TSLA,0.32000000000000006
2026-01-29,CASH,0.09420566666666663
2026-01-29,DIS,0.045289716666666674
